frame.time_relative,ip.src,ip.dst,frame.len,ip.proto
"2.353855975","10.0.2.15","172.217.29.138","729","6"
"2.354275739","172.217.29.138","10.0.2.15","60","6"
"2.356180843","10.0.2.15","34.107.243.93","118","6"
"2.356420069","10.0.2.15","34.107.243.93","224","6"
"2.356791042","34.107.243.93","10.0.2.15","60","6"
"2.356791294","34.107.243.93","10.0.2.15","60","6"
"2.364662696","34.107.243.93","10.0.2.15","703","6"
"2.365223927","10.0.2.15","34.107.243.93","85","6"
"2.365511667","10.0.2.15","34.107.243.93","74","6"
"2.367154535","34.107.243.93","10.0.2.15","60","6"
"2.369567794","34.107.243.93","10.0.2.15","60","6"
"2.369636088","10.0.2.15","34.107.243.93","54","6"
"2.371027080","10.0.2.15","34.107.243.93","1300","6"
"2.371595071","34.107.243.93","10.0.2.15","60","6"
"2.411198800","172.217.29.138","10.0.2.15","2934","6"
"2.411262961","10.0.2.15","172.217.29.138","54","6"
"2.411456718","172.217.29.138","10.0.2.15","1669","6"
"2.411463289","10.0.2.15","172.217.29.138","54","6"
"2.428688748","34.107.243.93","10.0.2.15","272","6"
"2.428711086","10.0.2.15","34.107.243.93","54","6"
"2.470905507","10.0.2.15","34.107.243.93","118","6"
"2.471415048","34.107.243.93","10.0.2.15","60","6"
"2.487758408","10.0.2.15","34.107.243.93","697","6"
"2.488178623","34.107.243.93","10.0.2.15","60","6"
"2.489795383","10.0.2.15","10.0.2.3","70","17"
"2.489874310","10.0.2.15","10.0.2.3","70","17"
"2.496923705","10.0.2.3","10.0.2.15","133","17"
"2.496924051","10.0.2.3","10.0.2.15","121","17"
"2.499912111","10.0.2.15","142.250.78.131","74","6"
"2.503247764","142.250.78.131","10.0.2.15","60","6"
"2.503309903","10.0.2.15","142.250.78.131","54","6"
"2.504554547","10.0.2.15","142.250.78.131","503","6"
"2.505014876","142.250.78.131","10.0.2.15","60","6"
"2.530175783","10.0.2.15","10.0.2.3","97","17"
"2.530261054","10.0.2.15","10.0.2.3","97","17"
"2.538096771","10.0.2.3","10.0.2.15","187","17"
"2.538719844","10.0.2.3","10.0.2.15","175","17"
"2.542372594","10.0.2.15","34.149.100.209","74","6"
"2.551919016","34.149.100.209","10.0.2.15","60","6"
"2.552077738","10.0.2.15","34.149.100.209","54","6"
"2.554056371","10.0.2.15","34.149.100.209","739","6"
"2.554662706","34.149.100.209","10.0.2.15","60","6"
"2.565396054","34.149.100.209","10.0.2.15","2934","6"
"2.565452797","10.0.2.15","34.149.100.209","54","6"
"2.565652252","34.149.100.209","10.0.2.15","345","6"
"2.565657294","10.0.2.15","34.149.100.209","54","6"
"2.572807367","10.0.2.15","34.149.100.209","118","6"
"2.573296527","34.149.100.209","10.0.2.15","60","6"
"2.573381454","10.0.2.15","34.149.100.209","224","6"
"2.573456275","10.0.2.15","34.149.100.209","337","6"
"2.573881739","34.149.100.209","10.0.2.15","60","6"
"2.573881944","34.149.100.209","10.0.2.15","60","6"
"2.580924315","34.149.100.209","10.0.2.15","672","6"
"2.581165176","34.149.100.209","10.0.2.15","85","6"
"2.581961997","34.149.100.209","10.0.2.15","793","6"
"2.581962139","34.149.100.209","10.0.2.15","93","6"
"2.597091404","10.0.2.15","34.149.100.209","85","6"
"2.597604095","10.0.2.15","34.149.100.209","93","6"
"2.597966741","34.149.100.209","10.0.2.15","60","6"
"2.661490020","34.107.243.93","10.0.2.15","886","6"
"2.661550123","10.0.2.15","34.107.243.93","54","6"
"2.696883963","142.250.78.131","10.0.2.15","1157","6"
"2.696908158","10.0.2.15","142.250.78.131","54","6"
"2.748744419","10.0.2.15","172.217.29.138","118","6"
